Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
134,293.1876885,257,27.17287262,38.31604026,25.17000008,25.81328102,0.794679773,141.008427,478.2102223,-23.53427508,-11.25433092,79.64587497
135,293.1884457,257,27.37626327,38.31238626,27.66399994,27.59363668,0.802123062,139.9474643,479.1491682,-15.78953492,-7.565542522,79.63919015
136,293.1885217,257,27.32311976,38.31070111,27.57666652,27.90288923,0.809850685,140.2134948,480.074114,-8.183443876,-3.928659568,79.6361072
137,293.1885514,257,27.14167884,38.31118516,27.39999962,26.03182301,0.817496205,141.1525992,482.7384512,24.49596604,11.82514471,79.63699276
138,293.1887729,257,26.91687965,38.31446063,20.97000001,20.24724639,0.823889385,142.3436191,482.0120617,13.74125538,6.623450838,79.64298513
139,293.1887097,257,26.76978272,38.31555335,16.66399975,16.53885933,0.828928203,143.1298631,481.1320568,0.775816875,0.373270369,79.6449842
140,293.1886005,257,26.66242976,38.31566335,15.09999943,13.72841448,0.833216604,143.7065702,481.2008979,1.785749997,0.859304502,79.64518544
141,293.1884953,257,26.60095201,38.31549707,9.639999822,8.839425745,0.836317337,144.038067,480.8357629,-1.996523708,-0.96,79.64488124
142,293.1883912,257,26.57485534,38.31519393,6.119999885,5.631010587,0.838279336,144.1783725,480.8353054,-1.996525607,-0.96,79.64432665
143,293.1882875,258,26.57004443,38.31489078,4.349999905,3.662814313,0.839572055,144.2033372,480.834848,-1.996527506,-0.96,79.64377206
144,293.188184,258,26.58305105,38.31458763,2.25999999,1.643058717,0.840301644,144.1316407,480.8343906,-1.996529406,-0.96,79.64321747
145,293.1880809,258,26.61189013,38.31428448,0.5,0.240457837,0.840530156,143.9743073,480.8339332,-1.996531305,-0.96,79.64266288
146,293.1879781,258,26.64748868,38.31398134,0.035,0,0.840544904,143.7808335,480.8334757,-1.996533204,-0.96,79.64210829
147,293.1878756,258,26.6838228,38.31367473,1.51E-11,0.129444369,0.840549408,143.5839048,480.8196246,-2.106329633,-1.012764623,79.64154737
148,293.1877767,258,26.72349056,38.31329616,1.334545439,1.24367058,0.840718328,143.3693554,480.6900075,-3.16459208,-1.521187791,79.64085479
149,293.1877173,258,26.80005899,38.3124843,3.279999971,3.826674679,0.84134571,142.9567163,479.7877365,-10.55373862,-5.063554364,79.63936951
150,293.1879738,258,27.02490348,38.31011323,9.599999428,8.496853621,0.843119444,141.7585571,479.5334057,-12.61020955,-6.04701673,79.63503169
151,293.1882194,258,27.19644191,38.30795255,9.599999428,11.00456554,0.845746266,140.8564866,477.521553,-29.08221577,-13.88738484,79.63107872
152,293.1904348,258,27.77938214,38.30192946,17.7380004,17.03553368,0.849680473,137.8789826,476.8880426,-34.20523838,-16.31206918,79.62005919
153,293.1915823,258,28.13299698,38.29746294,19.63333321,20.23179136,0.854876941,136.1300503,477.3165007,-30.63717603,-14.62362966,79.61188726
154,293.1932927,258,28.55610717,38.29211069,22.8599987,23.69620229,0.860953338,134.0942954,475.7974284,-43.03177865,-20.47440962,79.60209452
155,293.1957513,258,29.04759066,38.28580122,27.42799988,27.40606794,0.868107211,131.8037067,477.8132853,-26.42193689,-12.62475247,79.59055004
156,293.1963068,258,29.16025909,38.28254734,27.67000008,28.83763417,0.875911656,131.2832894,477.6010383,-28.12309716,-13.4316204,79.58459624
157,293.197456,258,29.39141148,38.2780766,30.4889986,30.92638736,0.884233977,130.2355847,478.4101321,-21.43191312,-10.25324438,79.57641571
158,293.1977309,258,29.38828704,38.27554245,30.9299984,31.71991847,0.892950973,130.2408078,479.2579478,-14.44621929,-6.923465412,79.57177865
159,293.1981977,258,29.42178067,38.27262394,31.39999962,32.69915542,0.901853992,130.0826227,476.9191507,-33.59542446,-16.0223013,79.56643819
160,293.1996927,258,29.64491893,38.26781764,34.84799957,34.6984428,0.911278621,129.0872737,479.9440074,-8.723612433,-4.18684551,79.55764316
161,293.1996155,258,29.36153878,38.26891442,32.6945454,32.79838033,0.920712246,130.3368829,481.9555213,13.91820212,6.707954359,79.55965018
162,293.1995616,258,29.09409605,38.27051011,29.87499905,30.37211193,0.929443578,131.540468,481.2118369,2.946332604,1.417810125,79.56257013
163,293.199555,258,28.84931313,38.27202924,28.8599987,27.73533436,0.937636172,132.6618387,482.8369032,26.81072842,12.94520908,79.56534996
164,293.1998269,259,28.62206798,38.27572449,22.64199944,21.82943667,0.944505289,133.7280189,482.2520016,18.12741082,8.741980152,79.57211175
165,293.1997944,259,28.46625539,38.27750266,17.5779995,17.2602272,0.949874112,134.4662378,481.2938144,3.997049952,1.923755418,79.5753655
166,293.1996553,259.8,28.36000914,38.27778663,14.85999966,14.25783962,0.954253272,134.9709954,481.0539793,0.463774851,0.223100738,79.57588512
167,293.1995176,260,28.28794545,38.27759693,11.77299957,11.47059173,0.957795459,135.3141641,480.6632144,-2.944531126,-1.415327796,79.57553799
168,293.1993898,260,28.24955856,38.27714501,10.02999973,9.158341923,0.960696693,135.4964359,480.7780671,-1.9967633,-0.96,79.57471106
169,293.1992547,260,28.22036717,38.27684189,6.599999905,5.664448848,0.962764563,135.6355205,480.7776094,-1.996765201,-0.96,79.5741564
170,293.1991199,260,28.22013502,38.27653877,2.993999982,2.357445396,0.963846607,135.6355621,480.7771517,-1.996767102,-0.96,79.57360175
171,293.1989856,260,28.24130821,38.27623565,0.751818169,0.486794467,0.964197307,135.5327996,480.776694,-1.996769003,-0.96,79.57304709
172,293.1988517,260,28.27140569,38.2759299,0.129999995,0.110078321,0.964252307,135.3874311,480.7673562,-2.069583019,-0.994987957,79.57248762
